,Text
1188," So yeah, I guess maybe I can feel you abt the part having parents with such temperament"
1189," Suicide is not a solution, plus it's hurt, I've tried once when I was 12, not because of my parents or family issue tho"
1190," I hope you are doing ok"""
1191,"Hai semua, aku rasa dah tak tahan dengan hidup aku"
1192," Serabut, hari-hari nangis"
1193, Aku dah tak boleh rasa bahagia
1194," Aku doa semoga Tuhan ambil aku cepat-cepat, bukannya ada orang yang peduli pasal aku"
1195," Aku penat dengan hidup ni, penat dengan diri sendiri"
1196,
1197,Gais mcm mana nak buat klau kita bnci adik kita sndri? Serius ak mnyampah ngn adik aku
1198, Even she does not respect me
1199, And lgi aku bertambah bnci
1200, Mak aku ada je justification dia tuk ap adik aku buat
1201, Walaupon bnda yg aku buat sama dgn ap yg dia buat
1202,aku risau betul kalau present kena guna zoom ke teams ke
1203, sbb laptop aku masalah
1204," guna henfon, tak nampak slide"
1205, belum ditambah line tak clear
1206, pkp ni banyak benor dugaan akuu
1207,"Aku ada seorang kawan, bestfriend sejak first masuk um lagi"
1208," Dia ni bukan calang2 student, aktif dalam program2 di kolej, universiti dan fac"
1209, Akademik pun selalu cemerlang setiap sem (selalu dekan)
1210, Tapi malangnya dia tak dapat merasa title first class degree dekat transkrip dia
1211," Even worst, disebabkan perkara tu dia dikecam dan dihina oleh pelajar2 lain (mostly girls) daripada jabatan yg sama dengan dia"
1212," Sejak dari tu, sikap dia mula berubah, daripada seseorang yg periang kepada seseorang yang pendiam"
1213, Muka dia pun dah tak seri macam dulu lagi
1214, Sampai sekarang dia hidup dalam kemurungan
1215," Sudah bagi nasihat, tapi tak berhasil jugak"
1216, Apa cadangan korang untuk handle masalah kawan aku ni
1217, Harap dapat membantu
1218,
1219,Hai semua
1220, Aku ada nak luah satu benda
1221, Aku penat sangat ada parent toxic
1222, Bukannya toxic sangat tp lebih kepada berat sebelah
1223, Semua benda aku buat semua tak kena di mata dia
1224," Kalau adik beradik yang lain, takde pula dia marah, nak benci, nak banding2kan"
1225, Aku ni boleh dikategorikan anak yang paling pandai dalam family
1226, Aku juga boleh dikatakan berjaya dalam semua peperiksaan
1227, Tapi mak aku ni tak habis2 nak banding2kan aku dengan kawan2 aku dan adik beradik yang lain
1228," Tak boleh nak dibandingkan dari segi result, dia bandingkan dari segi benda lain pula"
1229, Aku boleh buktikan pada dia yang aku mampu berjaya tapi aku tak mampu nak dapatkan perhatian dia dan kasih sayang dia
1230," Kadang2 malam2 aku menangis sendirian mengenangkan susahnya aku ni nak dapatkan kasih sayang seorang ibu, yang menjadi kebanggaan seorang ibu"
1231," Sejak ayah aku meninggal, boleh dikatakan hidup aku tak sebahagia dulu"
1232, Ayah selalu appreciate apa yang aku buat dan apa yang aku dapat
1233," Aku selalu jealous tengok kawan2 aku post gambar dengan family, ibu, ayah diorang"
1234, Rasa cemburu sangat sebab aku tak boleh nak dapat macam tu
1235, Doakan aku terus kuat untuk hadapi semua ni pada masa akan datang
1236,
